# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
CONTROL ADD LISTVIEW,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD OPTION,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD PROGRESSBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD SCROLLBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD STATUSBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD TAB,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD TEXTBOX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD TOOLBAR,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ADD TREEVIEW,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL DISABLE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL ENABLE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL GET CHECK,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL GET CLIENT,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL GET LOC,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL GET SIZE,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL GET TEXT,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL GET USER,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL HANDLE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL HIDE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL KILL,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL NORMALIZE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL POST,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL REDRAW,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SEND,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET CHECK,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET CLIENT,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET COLOR,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET FOCUS,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET FONT,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET IMAGE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET IMAGEX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET IMGBUTTON,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET IMGBUTTONX,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET LOC,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL SET OPTION,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET SIZE,STATEMENT,PB/Win only,Proposed Improvement,TIER3_DDT
CONTROL SET TEXT,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SET USER,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL SHOW STATE,STATEMENT,PB/Win only,Established,TIER3_DDT
CONTROL TRAXOMATIC,STATEMENT,PB/Win only,Proposed New,TIER3_DDT
COS,FUNCTION,LLVM intrinsic,,IMPLEMENTED
COSH,FUNCTION,LLVM intrinsic,,IMPLEMENTED
COT,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
COTH,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
CQUAD,FUNCTION,codegen builtin,,IMPLEMENTED
CSC,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
CSCH,FUNCTION,C runtime (MSVCRT),,IMPLEMENTED
CSET,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
CSNG,FUNCTION,codegen builtin,,IMPLEMENTED
CSTR,FUNCTION,codegen builtin,,IMPLEMENTED
CULNG,FUNCTION,codegen builtin,,IMPLEMENTED
CURDIR,FUNCTION,codegen builtin,,IMPLEMENTED
CVBYT,FUNCTION,codegen builtin,,IMPLEMENTED
CVCUX,FUNCTION,codegen builtin,,IMPLEMENTED
CVDWD,FUNCTION,codegen builtin,,IMPLEMENTED
CVL,FUNCTION,codegen builtin,,IMPLEMENTED
CVQ,FUNCTION,codegen builtin,,IMPLEMENTED
CVW,FUNCTION,codegen builtin,,IMPLEMENTED
CWORD,FUNCTION,codegen builtin,,IMPLEMENTED
DATA,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
DATACOUNT,FUNCTION,codegen builtin,,IMPLEMENTED
DAYNAME,FUNCTION,codegen builtin,,IMPLEMENTED
DEC,FUNCTION,codegen builtin,,IMPLEMENTED
DECLARE,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
DECR,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
DESKTOP GET CLIENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
DESKTOP GET LOC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
DESKTOP GET PPI,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
DESKTOP GET SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
DIALOG DEFAULT FONT,STATEMENT,PB/Win only,Established,TIER3_DDT
DIALOG DISABLE,STATEMENT,PB/Win only,Established,TIER3_DDT
