# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
XPRINT GET COLORMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET COPIES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET DC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET DUPLEX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET LINES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET MARGIN,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET MIX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET ORIENTATION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET OVERLAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET PAGES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET PAPER,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET PAPERS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET PIXEL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET POS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET PPI,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET QUALITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET SCALE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET SELECTION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET STRETCHMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET TEXTALIGN,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
XPRINT GET TRAY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET TRAYS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET WORDWRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT GET WRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT IMAGELIST,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT LINE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT PIE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT POLYGON,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT POLYLINE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT PREVIEW,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT PRINT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT RENDER,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SCALE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET CLIP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET COLLATE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET COLORMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET COPIES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET DUPLEX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET FONT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET MIX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET ORIENTATION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET OVERLAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET PAGES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET PAPER,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET PIXEL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET POS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET QUALITY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET STRETCHMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET TEXTALIGN,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
XPRINT SET TRAY,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET WORDWRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SET WRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT SPLIT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT STRETCH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT STYLE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT TEXT SIZE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT WIDTH,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
XPRINT_ARC,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_ATTACH,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_BOX,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_CANCEL,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_CELL,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_CELL_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_CHR_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_CLOSE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_COPY,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_ELLIPSE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_FORMFEED,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_ATTACH,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_CANVAS,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_CLIENT,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_CLIP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_COLLATE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_COLOR,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_COLORMODE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_COPIES,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_DC,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_DUPLEX,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_LINES,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_MARGIN,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_MIX,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_ORIENTATION,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_OVERLAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_PAGES,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_PAPER,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_PAPERS,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_PIXEL,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_POS,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_PPI,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_QUALITY,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_SCALE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_SELECTION,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_STRETCHMODE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_TEXTALIGN,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_TRAY,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_TRAYS,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_WORDWRAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_GET_WRAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_IMAGELIST,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_LINE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_PIE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_POLYGON,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_POLYLINE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_PREVIEW,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_PRINT,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_RENDER,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SCALE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_CLIP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_COLLATE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_COLOR,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_COLORMODE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_COPIES,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_DUPLEX,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_FONT,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_MIX,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_ORIENTATION,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_OVERLAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_PAGES,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_PAPER,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_PIXEL,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_POS,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_QUALITY,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_STRETCHMODE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_TEXTALIGN,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_TRAY,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_WORDWRAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SET_WRAP,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_SPLIT,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_STRETCH,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_STYLE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_TEXT_SIZE,FUNCTION,codegen builtin,,IMPLEMENTED
XPRINT_WIDTH,FUNCTION,codegen builtin,,IMPLEMENTED
